,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,Q10_R_2wjiSHblELDyZMY_0_0,R_2wjiSHblELDyZMY,0,0,alle,al,DET
1,Q10_R_2wjiSHblELDyZMY_0_1,R_2wjiSHblELDyZMY,0,1,andere,ander,ADJ
2,Q10_R_2wjiSHblELDyZMY_0_2,R_2wjiSHblELDyZMY,0,2,opties,optie,NOUN
3,Q10_R_2wjiSHblELDyZMY_0_3,R_2wjiSHblELDyZMY,0,3,zijn,zijn,AUX
4,Q10_R_2wjiSHblELDyZMY_0_4,R_2wjiSHblELDyZMY,0,4,discriminerend,discriminerenen,VERB
5,Q10_R_2wjiSHblELDyZMY_0_5,R_2wjiSHblELDyZMY,0,5,",",",",PUNCT
6,Q10_R_2wjiSHblELDyZMY_0_6,R_2wjiSHblELDyZMY,0,6,je,je,PRON
7,Q10_R_2wjiSHblELDyZMY_0_7,R_2wjiSHblELDyZMY,0,7,kan,kunnen,AUX
8,Q10_R_2wjiSHblELDyZMY_0_8,R_2wjiSHblELDyZMY,0,8,leerlingen,leerling,NOUN
9,Q10_R_2wjiSHblELDyZMY_0_9,R_2wjiSHblELDyZMY,0,9,niet,niet,ADV
10,Q10_R_2wjiSHblELDyZMY_0_10,R_2wjiSHblELDyZMY,0,10,uitsluiten,uitsluiten,VERB
11,Q10_R_2wjiSHblELDyZMY_0_11,R_2wjiSHblELDyZMY,0,11,omdat,omdat,SCONJ
12,Q10_R_2wjiSHblELDyZMY_0_12,R_2wjiSHblELDyZMY,0,12,ze,ze,PRON
13,Q10_R_2wjiSHblELDyZMY_0_13,R_2wjiSHblELDyZMY,0,13,nooit,nooit,ADV
14,Q10_R_2wjiSHblELDyZMY_0_14,R_2wjiSHblELDyZMY,0,14,eerder,eerder,ADJ
15,Q10_R_2wjiSHblELDyZMY_0_15,R_2wjiSHblELDyZMY,0,15,met,met,ADP
16,Q10_R_2wjiSHblELDyZMY_0_16,R_2wjiSHblELDyZMY,0,16,iets,iets,PRON
17,Q10_R_2wjiSHblELDyZMY_0_17,R_2wjiSHblELDyZMY,0,17,in,in,ADP
18,Q10_R_2wjiSHblELDyZMY_0_18,R_2wjiSHblELDyZMY,0,18,aanraking,aanraking,NOUN
19,Q10_R_2wjiSHblELDyZMY_0_19,R_2wjiSHblELDyZMY,0,19,kwamen,komen,VERB
20,Q10_R_2OVxUcnSQ8BFaqa_0_0,R_2OVxUcnSQ8BFaqa,0,0,In,in,ADP
21,Q10_R_2OVxUcnSQ8BFaqa_0_1,R_2OVxUcnSQ8BFaqa,0,1,het,het,DET
22,Q10_R_2OVxUcnSQ8BFaqa_0_2,R_2OVxUcnSQ8BFaqa,0,2,huidige,huidig,ADJ
23,Q10_R_2OVxUcnSQ8BFaqa_0_3,R_2OVxUcnSQ8BFaqa,0,3,onderwijsklimaat,onderwijsklimaat,NOUN
24,Q10_R_2OVxUcnSQ8BFaqa_0_4,R_2OVxUcnSQ8BFaqa,0,4,verwachten,verwachten,VERB
25,Q10_R_2OVxUcnSQ8BFaqa_0_5,R_2OVxUcnSQ8BFaqa,0,5,dat,dat,SCONJ
26,Q10_R_2OVxUcnSQ8BFaqa_0_6,R_2OVxUcnSQ8BFaqa,0,6,leerlingen,leerling,NOUN
27,Q10_R_2OVxUcnSQ8BFaqa_0_7,R_2OVxUcnSQ8BFaqa,0,7,TSO,TSO,SYM
28,Q10_R_2OVxUcnSQ8BFaqa_0_8,R_2OVxUcnSQ8BFaqa,0,8,en,en,CCONJ
29,Q10_R_2OVxUcnSQ8BFaqa_0_9,R_2OVxUcnSQ8BFaqa,0,9,BSO,BSO,NOUN
30,Q10_R_2OVxUcnSQ8BFaqa_0_10,R_2OVxUcnSQ8BFaqa,0,10,een,een,DET
