,identifyer,response_id,sentence_number,token,lemma,pos
0,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,Vijftig,Vijftig,NUM
1,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,plus,plus,ADV
2,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0, , ,SPACE
3,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,een,één,NUM
4,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,van,van,ADP
5,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,literaire,literair,ADJ
6,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,canon,canon,NOUN
7,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,be,be,SYM
8,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,vind,vinden,VERB
9,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,ik,ik,PRON
10,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,mooi,mooi,ADJ
11,QC_R_5yU9NUzFdYgqOSR_0,R_5yU9NUzFdYgqOSR,0,.,.,PUNCT
12,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,Laat,laten,VERB
13,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,nl,nl,PRON
14,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,zien,zien,VERB
15,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,dat,dat,SCONJ
16,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,het,het,PRON
17,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,aan,aan,ADP
18,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,verandering,verandering,NOUN
19,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,onderhevig,onderhevig,ADJ
20,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,kan,kunnen,AUX
21,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,zijn,zijn,AUX
22,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,",",",",PUNCT
23,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,maar,maar,CCONJ
24,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,dat,dat,SCONJ
25,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,er,er,ADV
26,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,wel,wel,ADV
27,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,een,een,DET
28,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,vaste,vast,ADJ
29,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,basis,basis,NOUN
30,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,is,zijn,AUX
31,QC_R_5yU9NUzFdYgqOSR_1,R_5yU9NUzFdYgqOSR,1,.,.,PUNCT
32,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,Morgen,morgen,ADV
33,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,of,of,CCONJ
34,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,over,over,ADP
35,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,een,een,DET
36,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,maand,maand,NOUN
37,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,zou,zullen,AUX
38,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,ik,ik,PRON
39,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,zelf,zelf,ADV
40,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,ook,ook,ADV
41,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,andere,ander,ADJ
42,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,titels,titel,NOUN
43,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,kiezen,kiezen,VERB
44,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,",",",",PUNCT
45,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,smaak,smaak,NOUN
46,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,verandert,veranderen,VERB
47,QC_R_5yU9NUzFdYgqOSR_2,R_5yU9NUzFdYgqOSR,2,.,.,PUNCT
48,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,Dat,dat,PRON
49,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,is,zijn,AUX
50,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,fijn,fijn,ADJ
51,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,want,want,CCONJ
52,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,dan,dan,ADV
53,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,kan,kunnen,AUX
54,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,je,je,PRON
55,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,altijd,altijd,ADV
56,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,nog,nog,ADV
57,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,meer,veel,ADV
58,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,blijven,blijven,VERB
59,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,lezen,lezen,VERB
60,QC_R_5yU9NUzFdYgqOSR_3,R_5yU9NUzFdYgqOSR,3,.,.,PUNCT
61,QC_R_1OKcP6ZdBt2gs57_0,R_1OKcP6ZdBt2gs57,0,Succes,Succes,NOUN
62,QC_R_1OKcP6ZdBt2gs57_0,R_1OKcP6ZdBt2gs57,0,met,met,ADP
63,QC_R_1OKcP6ZdBt2gs57_0,R_1OKcP6ZdBt2gs57,0,het,het,DET
64,QC_R_1OKcP6ZdBt2gs57_0,R_1OKcP6ZdBt2gs57,0,uitwerken,uitwerken,VERB
65,QC_R_1OKcP6ZdBt2gs57_0,R_1OKcP6ZdBt2gs57,0,!,!,PUNCT
66,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,Raar,Raar,NOUN
67,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,dat,dat,SCONJ
68,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,ik,ik,PRON
69,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,geboorteland,geboorteland,NOUN
70,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,moet,moeten,AUX
71,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,invullen,invullen,VERB
72,QC_R_2ZWWyIrEgTYRDuY_0,R_2ZWWyIrEgTYRDuY,0,.,.,PUNCT
73,QC_R_2ZWWyIrEgTYRDuY_1,R_2ZWWyIrEgTYRDuY,1,Mis,Mis,VERB
74,QC_R_2ZWWyIrEgTYRDuY_1,R_2ZWWyIrEgTYRDuY,1,daar,daar,ADV
75,QC_R_2ZWWyIrEgTYRDuY_1,R_2ZWWyIrEgTYRDuY,1,de,de,DET
76,QC_R_2ZWWyIrEgTYRDuY_1,R_2ZWWyIrEgTYRDuY,1,optie,optie,NOUN
77,QC_R_2ZWWyIrEgTYRDuY_1,R_2ZWWyIrEgTYRDuY,1,nvt,nvt,ADP
78,QC_R_w1oYTTPNXPzoxb3_0,R_w1oYTTPNXPzoxb3,0,Succes,Succes,NOUN
79,QC_R_w1oYTTPNXPzoxb3_0,R_w1oYTTPNXPzoxb3,0,!,!,PUNCT
80,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,Ik,ik,PRON
81,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,vond,vinden,VERB
82,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,dit,dit,PRON
83,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,een,een,DET
84,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,zeer,zeer,ADV
85,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,nuttige,nuttig,ADJ
86,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,en,en,CCONJ
87,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,leuke,leuk,ADJ
88,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,enquête,enquête,NOUN
89,QC_R_1DIQvG7A6ens6Yy_0,R_1DIQvG7A6ens6Yy,0,.,.,PUNCT
